profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther,languageOther__001,languageOther__002,languageOther__003,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SO"",""ans"":75,""concept"":""Mangue""},{""tryOut"":2,""qualifier"":""least"",""color"":""SO"",""ans"":100,""concept"":""Mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""Paix""}]",2024210-1521-9953,mlg,mdg,NA,fra,,,Je ne sais pas,mdg2,25,25,16,37
student,fr,color1,10,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""Heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":95,""concept"":""Sécheresse""}]",2024211-1015-20174,mlg,mdg,NA,fra,eng,,Je ne sais pas,mdg2,17,17,16,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""MG"",""ans"":100,""concept"":""Mort""}]",2024212-1032-45194,mlg,mdg,NA,fra,,,Non,mdg2,23,23,16,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":1,""concept"":""Amour""},{""tryOut"":2,""qualifier"":""least"",""color"":""SH"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""Mangue""}]",2024212-1144-17748,fra,mdg,NA,eng,,,Non,mdg2,24,24,16,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""Arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""Heureux""}]",202428-112-13121,mlg,mdg,NA,fra,,,Non,mdg2,30,30,16,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""En bonne santé""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""Amour""}]",202428-112-20165,mlg,mdg,NA,fra,,,Je ne sais pas,mdg2,24,24,16,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""En bonne santé""}]",202428-1212-0433,mlg,mdg,NA,fra,,,Non,mdg2,25,25,16,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LR"",""ans"":69,""concept"":""Heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":80,""concept"":""Amour""}]",202428-1220-5427,mlg,mdg,NA,fra,,,Non,mdg2,25,25,16,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""Malade""}]",202428-1310-23247,mlg,mdg,NA,fra,,,Non,mdg2,24,24,16,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""Mort""}]",202428-138-0931,mlg,mdg,NA,fra,,,Je ne sais pas,mdg2,23,23,16,37
